DayOfWeek,Department,TimeOfDay,PatientInflow
Tuesday,Pediatrics,Morning,20
Monday,Emergency,Night,15
Thursday,Emergency,Afternoon,29
Wednesday,Emergency,Night,5
Saturday,Oncology,Morning,12
Tuesday,Cardiology,Night,19
Monday,Pediatrics,Evening,13
Thursday,Pediatrics,Evening,20
Saturday,Oncology,Afternoon,11
Sunday,Oncology,Night,24
Thursday,Neurology,Night,5
Tuesday,Oncology,Evening,24
Wednesday,Oncology,Afternoon,23
Thursday,Neurology,Night,24
Friday,Emergency,Afternoon,12
Friday,Neurology,Afternoon,16
Saturday,Neurology,Evening,16
Tuesday,Neurology,Afternoon,25
Monday,Oncology,Evening,23
Tuesday,Cardiology,Evening,25
Saturday,Oncology,Morning,25
Sunday,Pediatrics,Morning,25
Tuesday,Emergency,Night,29
Monday,Cardiology,Morning,23
Monday,Pediatrics,Night,8
Monday,Oncology,Evening,14
Wednesday,Cardiology,Evening,29
Thursday,Emergency,Night,11
Tuesday,Neurology,Afternoon,25
Sunday,Neurology,Night,13
Friday,Pediatrics,Morning,20
Monday,Oncology,Afternoon,24
Monday,Oncology,Morning,26
Monday,Emergency,Afternoon,7
Sunday,Oncology,Morning,20
Thursday,Emergency,Night,5
Friday,Pediatrics,Night,26
Sunday,Cardiology,Night,17
Saturday,Pediatrics,Afternoon,18
Saturday,Pediatrics,Morning,9
Tuesday,Neurology,Afternoon,13
Thursday,Oncology,Morning,7
Wednesday,Emergency,Afternoon,18
Saturday,Neurology,Evening,25
Saturday,Oncology,Night,24
Friday,Neurology,Morning,22
Friday,Cardiology,Afternoon,27
Sunday,Oncology,Morning,22
Wednesday,Cardiology,Evening,8
Tuesday,Cardiology,Night,29
Friday,Oncology,Morning,6
Monday,Cardiology,Night,8
Tuesday,Emergency,Morning,17
Saturday,Emergency,Night,29
Saturday,Pediatrics,Evening,9
Thursday,Neurology,Evening,14
Sunday,Pediatrics,Morning,24
Wednesday,Neurology,Afternoon,9
Monday,Emergency,Night,13
Monday,Emergency,Night,28
Monday,Emergency,Evening,15
Thursday,Cardiology,Night,7
Sunday,Cardiology,Afternoon,11
Monday,Cardiology,Night,25
Friday,Oncology,Morning,15
Monday,Cardiology,Afternoon,11
Sunday,Oncology,Night,29
Sunday,Cardiology,Afternoon,20
Tuesday,Oncology,Evening,17
Friday,Oncology,Night,16
Sunday,Pediatrics,Evening,22
Monday,Pediatrics,Afternoon,9
Sunday,Cardiology,Morning,25
Saturday,Pediatrics,Evening,13
Sunday,Oncology,Morning,11
Thursday,Cardiology,Morning,10
Sunday,Oncology,Night,7
Monday,Neurology,Morning,17
Thursday,Cardiology,Evening,21
Friday,Emergency,Afternoon,22
Friday,Neurology,Afternoon,17
Sunday,Oncology,Morning,12
Friday,Pediatrics,Night,11
Friday,Cardiology,Night,26
Thursday,Cardiology,Evening,15
Tuesday,Cardiology,Evening,28
Thursday,Pediatrics,Morning,28
Thursday,Cardiology,Night,23
Monday,Neurology,Evening,29
Monday,Pediatrics,Morning,6
Thursday,Pediatrics,Evening,5
Wednesday,Emergency,Afternoon,10
Tuesday,Pediatrics,Evening,12
Friday,Neurology,Morning,10
Friday,Cardiology,Afternoon,17
Sunday,Pediatrics,Morning,16
Friday,Pediatrics,Night,27
Monday,Cardiology,Morning,25
Monday,Pediatrics,Afternoon,5
Tuesday,Oncology,Morning,7
Saturday,Neurology,Evening,27
Tuesday,Emergency,Morning,18
Thursday,Oncology,Morning,29
Monday,Neurology,Afternoon,7
Sunday,Pediatrics,Morning,7
Sunday,Oncology,Night,24
Friday,Neurology,Afternoon,18
Sunday,Oncology,Evening,19
Thursday,Neurology,Morning,20
Wednesday,Cardiology,Afternoon,7
Wednesday,Oncology,Evening,29
Saturday,Cardiology,Night,22
Sunday,Pediatrics,Evening,21
Tuesday,Pediatrics,Evening,13
Monday,Oncology,Afternoon,29
Monday,Cardiology,Afternoon,10
Wednesday,Neurology,Night,29
Tuesday,Pediatrics,Night,14
Tuesday,Neurology,Afternoon,23
Monday,Cardiology,Afternoon,22
Saturday,Neurology,Evening,5
Monday,Pediatrics,Evening,9
Wednesday,Pediatrics,Night,6
Saturday,Pediatrics,Afternoon,11
Friday,Pediatrics,Night,14
Tuesday,Emergency,Afternoon,17
Monday,Oncology,Night,7
Sunday,Emergency,Evening,27
Saturday,Emergency,Evening,17
Saturday,Pediatrics,Morning,18
Tuesday,Pediatrics,Afternoon,5
Saturday,Oncology,Night,24
Friday,Emergency,Morning,5
Wednesday,Cardiology,Afternoon,28
Sunday,Neurology,Evening,17
Friday,Neurology,Evening,19
Wednesday,Pediatrics,Night,25
Tuesday,Emergency,Night,8
Sunday,Cardiology,Night,12
Thursday,Oncology,Evening,5
Tuesday,Cardiology,Night,26
Thursday,Neurology,Evening,21
Saturday,Emergency,Afternoon,15
Tuesday,Emergency,Evening,13
Saturday,Pediatrics,Evening,25
Friday,Cardiology,Night,16
Wednesday,Neurology,Night,24
Tuesday,Pediatrics,Morning,15
Saturday,Oncology,Evening,6
Monday,Emergency,Evening,17
Wednesday,Oncology,Morning,5
Friday,Pediatrics,Night,25
Tuesday,Neurology,Afternoon,11
Saturday,Cardiology,Night,27
Wednesday,Emergency,Afternoon,13
Monday,Pediatrics,Afternoon,16
Wednesday,Neurology,Afternoon,26
Tuesday,Neurology,Afternoon,18
Monday,Oncology,Afternoon,5
Tuesday,Emergency,Afternoon,28
Thursday,Neurology,Afternoon,29
Wednesday,Oncology,Morning,11
Saturday,Pediatrics,Afternoon,19
Monday,Oncology,Evening,10
Tuesday,Emergency,Night,20
Sunday,Neurology,Evening,5
Thursday,Pediatrics,Morning,10
Tuesday,Oncology,Evening,20
Tuesday,Neurology,Evening,10
Wednesday,Emergency,Night,6
Wednesday,Emergency,Afternoon,18
Thursday,Cardiology,Night,19
Saturday,Pediatrics,Night,22
Wednesday,Cardiology,Evening,7
Monday,Emergency,Night,28
Saturday,Neurology,Morning,10
Thursday,Pediatrics,Afternoon,27
Wednesday,Oncology,Night,25
Saturday,Cardiology,Morning,24
Friday,Neurology,Night,20
Monday,Oncology,Evening,20
Sunday,Pediatrics,Evening,29
Tuesday,Pediatrics,Afternoon,15
Monday,Cardiology,Evening,29
Monday,Neurology,Evening,22
Saturday,Neurology,Night,19
Monday,Pediatrics,Night,20
Friday,Emergency,Evening,12
Monday,Neurology,Morning,21
Friday,Emergency,Morning,21
Friday,Emergency,Night,22
Wednesday,Oncology,Afternoon,27
Friday,Cardiology,Morning,9
Friday,Pediatrics,Afternoon,15
Saturday,Pediatrics,Morning,15
Saturday,Oncology,Afternoon,20
Sunday,Emergency,Afternoon,17
Sunday,Neurology,Morning,14
Thursday,Oncology,Evening,8
Friday,Oncology,Night,23
Saturday,Emergency,Night,25
Monday,Neurology,Morning,28
Tuesday,Oncology,Night,25
Sunday,Emergency,Morning,10
Friday,Emergency,Morning,13
Friday,Emergency,Afternoon,13
Wednesday,Emergency,Morning,27
Saturday,Oncology,Evening,28
Wednesday,Pediatrics,Afternoon,10
Monday,Oncology,Afternoon,29
Thursday,Emergency,Evening,22
Saturday,Neurology,Evening,5
Friday,Oncology,Night,16
Sunday,Neurology,Evening,11
Tuesday,Cardiology,Night,24
Friday,Emergency,Afternoon,9
Saturday,Oncology,Morning,10
Thursday,Emergency,Afternoon,17
Saturday,Neurology,Night,12
Thursday,Pediatrics,Morning,24
Saturday,Pediatrics,Evening,23
Tuesday,Neurology,Morning,10
Sunday,Oncology,Night,26
Monday,Emergency,Morning,13
Friday,Oncology,Morning,26
Friday,Neurology,Afternoon,22
Wednesday,Emergency,Evening,5
Monday,Neurology,Afternoon,13
Tuesday,Cardiology,Evening,5
Friday,Cardiology,Evening,27
Saturday,Oncology,Afternoon,25
Saturday,Oncology,Night,19
Saturday,Pediatrics,Morning,23
Sunday,Cardiology,Afternoon,9
Thursday,Cardiology,Evening,13
Monday,Emergency,Night,25
Sunday,Pediatrics,Morning,16
Thursday,Neurology,Morning,24
Saturday,Emergency,Afternoon,9
Thursday,Pediatrics,Night,13
Friday,Emergency,Morning,14
Sunday,Pediatrics,Morning,12
Sunday,Cardiology,Night,21
Tuesday,Emergency,Morning,26
Tuesday,Oncology,Morning,25
Tuesday,Emergency,Evening,20
Friday,Pediatrics,Evening,16
Sunday,Oncology,Afternoon,24
Saturday,Cardiology,Morning,16
Wednesday,Cardiology,Afternoon,17
Tuesday,Emergency,Evening,28
Thursday,Oncology,Afternoon,9
Sunday,Pediatrics,Afternoon,5
Thursday,Emergency,Night,16
Saturday,Oncology,Morning,24
Wednesday,Oncology,Evening,7
Monday,Oncology,Afternoon,12
Friday,Neurology,Afternoon,14
Friday,Cardiology,Evening,22
Thursday,Pediatrics,Afternoon,17
Tuesday,Cardiology,Night,15
Tuesday,Emergency,Night,26
Sunday,Pediatrics,Morning,26
Wednesday,Oncology,Evening,8
Monday,Cardiology,Afternoon,25
Tuesday,Oncology,Afternoon,17
Tuesday,Cardiology,Afternoon,18
Thursday,Oncology,Evening,28
Saturday,Neurology,Afternoon,28
Tuesday,Pediatrics,Morning,19
Friday,Neurology,Evening,20
Tuesday,Neurology,Evening,14
Tuesday,Neurology,Morning,24
Monday,Cardiology,Morning,22
Friday,Pediatrics,Night,8
Wednesday,Pediatrics,Evening,11
Friday,Oncology,Evening,8
Wednesday,Cardiology,Night,19
Monday,Oncology,Night,7
Monday,Emergency,Afternoon,12
Saturday,Pediatrics,Afternoon,22
Saturday,Emergency,Morning,29
Thursday,Pediatrics,Afternoon,26
Monday,Emergency,Evening,15
Tuesday,Cardiology,Morning,16
Sunday,Neurology,Evening,10
Friday,Neurology,Night,25
Wednesday,Neurology,Morning,17
Friday,Oncology,Afternoon,12
Friday,Pediatrics,Night,26
Friday,Cardiology,Evening,13
Friday,Oncology,Evening,24
Friday,Oncology,Afternoon,19
Saturday,Emergency,Morning,15
Sunday,Cardiology,Evening,28
Monday,Emergency,Evening,26
Saturday,Pediatrics,Night,16
Friday,Emergency,Evening,27
Friday,Oncology,Night,9
Wednesday,Pediatrics,Night,21
Friday,Emergency,Evening,21
Sunday,Emergency,Morning,19
Friday,Cardiology,Morning,5
Saturday,Cardiology,Morning,21
Friday,Emergency,Night,17
Tuesday,Emergency,Afternoon,9
Saturday,Cardiology,Afternoon,7
Tuesday,Emergency,Evening,28
Tuesday,Cardiology,Morning,11
Friday,Emergency,Morning,26
Monday,Oncology,Evening,28
Tuesday,Emergency,Afternoon,12
Thursday,Cardiology,Evening,13
Tuesday,Emergency,Night,26
Wednesday,Cardiology,Night,26
Monday,Pediatrics,Afternoon,26
Sunday,Emergency,Evening,16
Saturday,Neurology,Morning,21
Wednesday,Oncology,Afternoon,7
Wednesday,Pediatrics,Afternoon,13
Tuesday,Neurology,Afternoon,20
Wednesday,Pediatrics,Morning,19
Wednesday,Neurology,Afternoon,23
Monday,Pediatrics,Afternoon,26
Tuesday,Pediatrics,Morning,17
Monday,Oncology,Night,29
Friday,Oncology,Evening,23
Tuesday,Cardiology,Afternoon,10
Wednesday,Pediatrics,Afternoon,20
Saturday,Cardiology,Night,13
Tuesday,Pediatrics,Morning,14
Saturday,Emergency,Evening,12
Tuesday,Emergency,Afternoon,20
Sunday,Cardiology,Morning,26
Friday,Neurology,Night,27
Sunday,Neurology,Afternoon,22
Monday,Emergency,Afternoon,15
Tuesday,Emergency,Evening,20
Sunday,Pediatrics,Evening,9
Saturday,Pediatrics,Night,6
Tuesday,Neurology,Evening,13
Saturday,Oncology,Morning,22
Sunday,Neurology,Morning,11
Thursday,Emergency,Morning,7
Tuesday,Neurology,Morning,21
Monday,Emergency,Evening,10
Thursday,Pediatrics,Night,21
Saturday,Oncology,Morning,27
Wednesday,Oncology,Evening,26
Wednesday,Emergency,Evening,18
Tuesday,Oncology,Morning,27
Monday,Emergency,Evening,21
Tuesday,Pediatrics,Evening,29
Wednesday,Neurology,Night,11
Tuesday,Pediatrics,Morning,12
Tuesday,Pediatrics,Morning,17
Wednesday,Neurology,Evening,27
Sunday,Oncology,Evening,25
Wednesday,Emergency,Afternoon,28
Sunday,Pediatrics,Afternoon,28
Thursday,Pediatrics,Night,21
Thursday,Emergency,Night,11
Monday,Neurology,Morning,25
Saturday,Emergency,Evening,7
Sunday,Emergency,Morning,17
Sunday,Pediatrics,Morning,29
Saturday,Emergency,Night,25
Monday,Cardiology,Evening,23
Wednesday,Cardiology,Evening,6
Sunday,Cardiology,Evening,10
Monday,Pediatrics,Afternoon,26
Monday,Pediatrics,Afternoon,26
Sunday,Neurology,Evening,8
Thursday,Neurology,Evening,18
Sunday,Pediatrics,Night,14
Wednesday,Neurology,Evening,23
Thursday,Oncology,Night,16
Tuesday,Neurology,Evening,21
Wednesday,Pediatrics,Evening,25
Friday,Pediatrics,Afternoon,16
Monday,Pediatrics,Evening,25
Monday,Oncology,Afternoon,8
Wednesday,Cardiology,Morning,17
Sunday,Pediatrics,Afternoon,25
Friday,Oncology,Morning,7
Saturday,Emergency,Evening,17
Wednesday,Pediatrics,Morning,22
Monday,Neurology,Morning,26
Saturday,Oncology,Evening,11
Monday,Emergency,Night,8
Wednesday,Neurology,Evening,5
Saturday,Oncology,Afternoon,16
Tuesday,Cardiology,Afternoon,20
Sunday,Neurology,Morning,23
Thursday,Oncology,Night,10
Wednesday,Cardiology,Night,22
Sunday,Cardiology,Morning,9
Tuesday,Neurology,Night,17
Friday,Emergency,Afternoon,6
Monday,Neurology,Evening,23
Monday,Cardiology,Night,19
Wednesday,Oncology,Evening,11
Sunday,Cardiology,Night,7
Friday,Neurology,Afternoon,7
Wednesday,Cardiology,Evening,20
Thursday,Emergency,Evening,6
Wednesday,Cardiology,Morning,29
Monday,Emergency,Morning,17
Monday,Emergency,Afternoon,17
Sunday,Oncology,Night,18
Saturday,Cardiology,Morning,7
Sunday,Oncology,Afternoon,22
Tuesday,Pediatrics,Morning,25
Thursday,Oncology,Evening,8
Saturday,Oncology,Night,20
Saturday,Emergency,Evening,9
Saturday,Emergency,Morning,18
Tuesday,Pediatrics,Night,16
Thursday,Emergency,Morning,18
Sunday,Emergency,Night,13
Monday,Oncology,Night,29
Saturday,Emergency,Night,16
Saturday,Cardiology,Night,13
Saturday,Pediatrics,Morning,15
Wednesday,Emergency,Afternoon,29
Monday,Neurology,Evening,27
Tuesday,Oncology,Afternoon,25
Tuesday,Oncology,Morning,26
Wednesday,Cardiology,Night,7
Saturday,Neurology,Evening,23
Friday,Pediatrics,Morning,20
Monday,Oncology,Evening,15
Tuesday,Cardiology,Morning,11
Sunday,Emergency,Night,15
Friday,Pediatrics,Afternoon,19
Sunday,Oncology,Morning,29
Friday,Emergency,Evening,20
Monday,Emergency,Morning,7
Tuesday,Cardiology,Night,25
Friday,Emergency,Night,19
Tuesday,Pediatrics,Afternoon,20
Friday,Emergency,Night,9
Monday,Oncology,Afternoon,16
Monday,Pediatrics,Night,22
Tuesday,Pediatrics,Morning,26
Monday,Cardiology,Night,22
Thursday,Cardiology,Morning,27
Monday,Cardiology,Afternoon,10
Sunday,Neurology,Evening,18
Wednesday,Neurology,Night,24
Monday,Cardiology,Morning,23
Tuesday,Emergency,Night,6
Sunday,Emergency,Night,5
Saturday,Pediatrics,Afternoon,28
Friday,Emergency,Night,15
Sunday,Emergency,Evening,18
Thursday,Oncology,Evening,6
Tuesday,Pediatrics,Night,16
Tuesday,Cardiology,Morning,16
Sunday,Cardiology,Evening,18
Friday,Emergency,Afternoon,8
Friday,Cardiology,Night,16
Wednesday,Cardiology,Afternoon,11
Tuesday,Emergency,Afternoon,29
Sunday,Emergency,Afternoon,24
Thursday,Cardiology,Morning,26
Wednesday,Oncology,Morning,22
Wednesday,Pediatrics,Evening,19
Thursday,Oncology,Evening,20
Friday,Emergency,Afternoon,5
Friday,Pediatrics,Evening,26
Tuesday,Oncology,Morning,10
Wednesday,Neurology,Afternoon,17
Thursday,Oncology,Morning,18
Thursday,Cardiology,Afternoon,20
Sunday,Cardiology,Morning,7
Sunday,Cardiology,Night,16
Thursday,Emergency,Night,20
Wednesday,Cardiology,Morning,21
Monday,Pediatrics,Afternoon,16
Monday,Oncology,Morning,20
Tuesday,Oncology,Afternoon,13
Saturday,Emergency,Afternoon,5
Wednesday,Pediatrics,Night,7
Saturday,Pediatrics,Morning,22
Wednesday,Pediatrics,Evening,23
Monday,Neurology,Night,18
Friday,Cardiology,Morning,9
Monday,Neurology,Night,22
Saturday,Oncology,Morning,20
Wednesday,Emergency,Evening,26
Saturday,Pediatrics,Evening,19
Thursday,Cardiology,Morning,26
Wednesday,Neurology,Evening,10
Tuesday,Neurology,Night,25
Monday,Cardiology,Morning,5
Tuesday,Oncology,Night,10
Monday,Cardiology,Evening,24
Sunday,Oncology,Morning,9
Monday,Pediatrics,Night,6
Tuesday,Pediatrics,Night,25
Sunday,Oncology,Morning,6
Tuesday,Oncology,Night,19
Thursday,Pediatrics,Night,18
Saturday,Emergency,Morning,16
Tuesday,Pediatrics,Morning,23
Friday,Oncology,Evening,29
Wednesday,Emergency,Night,10
Saturday,Pediatrics,Evening,8
Thursday,Neurology,Afternoon,14
Monday,Cardiology,Night,14
Saturday,Neurology,Afternoon,19
Sunday,Cardiology,Morning,10
Friday,Neurology,Morning,11
Tuesday,Emergency,Night,7
Tuesday,Pediatrics,Morning,13
Friday,Oncology,Afternoon,19
Wednesday,Emergency,Night,5
Sunday,Neurology,Morning,11
Sunday,Cardiology,Night,27
Friday,Emergency,Night,21
Monday,Emergency,Night,27
Saturday,Neurology,Afternoon,27
Friday,Neurology,Afternoon,27
Saturday,Pediatrics,Afternoon,22
Thursday,Oncology,Evening,14
Friday,Neurology,Afternoon,7
Sunday,Oncology,Evening,15
Sunday,Emergency,Afternoon,25
Friday,Pediatrics,Morning,17
Monday,Emergency,Evening,7
Sunday,Emergency,Afternoon,27
Sunday,Emergency,Night,24
Monday,Emergency,Afternoon,7
Wednesday,Pediatrics,Afternoon,28
Monday,Cardiology,Evening,6
Monday,Cardiology,Night,28
Monday,Oncology,Afternoon,7
Friday,Oncology,Afternoon,26
Friday,Cardiology,Morning,18
Monday,Oncology,Night,28
Tuesday,Oncology,Morning,24
Monday,Neurology,Night,28
Monday,Neurology,Morning,10
Saturday,Cardiology,Evening,23
Wednesday,Emergency,Morning,6
Monday,Pediatrics,Morning,11
Monday,Neurology,Evening,7
Saturday,Cardiology,Evening,7
Wednesday,Cardiology,Evening,23
Monday,Pediatrics,Night,27
Monday,Cardiology,Evening,14
Thursday,Pediatrics,Evening,10
Saturday,Neurology,Evening,14
Sunday,Pediatrics,Morning,12
Wednesday,Oncology,Night,25
Wednesday,Emergency,Night,5
Thursday,Neurology,Night,27
Wednesday,Neurology,Night,17
Saturday,Neurology,Night,15
Tuesday,Emergency,Morning,19
Friday,Emergency,Night,22
Friday,Pediatrics,Night,8
Saturday,Pediatrics,Afternoon,19
Wednesday,Oncology,Evening,29
Friday,Pediatrics,Evening,5
Monday,Pediatrics,Afternoon,25
Sunday,Oncology,Morning,24
Monday,Oncology,Evening,9
Tuesday,Pediatrics,Evening,16
Thursday,Oncology,Afternoon,11
Saturday,Neurology,Afternoon,13
Friday,Cardiology,Night,7
Tuesday,Cardiology,Evening,19
Friday,Emergency,Morning,5
Monday,Emergency,Morning,8
Tuesday,Neurology,Morning,25
Saturday,Neurology,Afternoon,26
Tuesday,Oncology,Evening,16
Thursday,Oncology,Morning,20
Monday,Pediatrics,Afternoon,16
Tuesday,Emergency,Afternoon,16
Sunday,Pediatrics,Afternoon,10
Monday,Cardiology,Morning,29
Monday,Cardiology,Afternoon,20
Wednesday,Oncology,Evening,7
Wednesday,Emergency,Night,18
Thursday,Neurology,Afternoon,16
Monday,Emergency,Afternoon,28
Wednesday,Neurology,Night,13
Saturday,Pediatrics,Morning,15
Saturday,Neurology,Afternoon,14
Friday,Oncology,Morning,24
Monday,Emergency,Afternoon,10
Tuesday,Neurology,Night,24
Monday,Pediatrics,Morning,5
Tuesday,Neurology,Night,17
Thursday,Pediatrics,Morning,14
Sunday,Neurology,Evening,5
Sunday,Cardiology,Night,28
Wednesday,Oncology,Afternoon,7
Friday,Emergency,Night,9
Wednesday,Oncology,Afternoon,21
Saturday,Emergency,Evening,14
Tuesday,Neurology,Evening,16
Saturday,Oncology,Afternoon,14
Thursday,Cardiology,Afternoon,22
Tuesday,Neurology,Afternoon,19
Saturday,Cardiology,Morning,15
Thursday,Neurology,Night,16
Sunday,Pediatrics,Morning,12
Saturday,Emergency,Afternoon,28
Thursday,Emergency,Morning,26
Sunday,Cardiology,Afternoon,14
Saturday,Cardiology,Night,13
Friday,Cardiology,Night,21
Sunday,Pediatrics,Afternoon,18
Friday,Neurology,Evening,10
Wednesday,Oncology,Night,25
Sunday,Cardiology,Evening,23
Friday,Cardiology,Morning,26
Tuesday,Pediatrics,Morning,28
Tuesday,Oncology,Evening,7
Saturday,Emergency,Afternoon,24
Saturday,Cardiology,Afternoon,6
Thursday,Emergency,Night,27
Wednesday,Cardiology,Morning,21
Saturday,Neurology,Morning,14
Wednesday,Cardiology,Evening,15
Wednesday,Cardiology,Afternoon,25
Thursday,Cardiology,Night,12
Sunday,Pediatrics,Night,21
Friday,Pediatrics,Afternoon,28
Monday,Cardiology,Afternoon,28
Tuesday,Pediatrics,Afternoon,13
Thursday,Pediatrics,Night,15
Sunday,Oncology,Evening,8
Tuesday,Cardiology,Night,20
Friday,Pediatrics,Evening,13
Friday,Emergency,Afternoon,7
Thursday,Emergency,Morning,9
Thursday,Oncology,Evening,9
Monday,Neurology,Night,23
Wednesday,Emergency,Morning,14
Monday,Oncology,Afternoon,13
Thursday,Pediatrics,Evening,12
Monday,Neurology,Afternoon,23
Saturday,Neurology,Afternoon,19
Saturday,Neurology,Afternoon,25
Saturday,Emergency,Night,27
Tuesday,Neurology,Morning,26
Friday,Cardiology,Evening,26
Friday,Pediatrics,Evening,8
Sunday,Pediatrics,Morning,12
Monday,Neurology,Morning,19
Saturday,Neurology,Evening,11
Wednesday,Neurology,Evening,16
Sunday,Pediatrics,Morning,20
Thursday,Neurology,Morning,12
Friday,Neurology,Morning,12
Monday,Pediatrics,Morning,22
Sunday,Oncology,Morning,20
Thursday,Pediatrics,Afternoon,15
Sunday,Oncology,Morning,25
Sunday,Emergency,Evening,11
Friday,Emergency,Evening,27
Saturday,Oncology,Afternoon,22
Sunday,Pediatrics,Afternoon,12
Monday,Cardiology,Afternoon,17
Thursday,Pediatrics,Morning,8
Wednesday,Pediatrics,Morning,7
Monday,Oncology,Morning,8
Monday,Cardiology,Evening,8
Monday,Cardiology,Evening,7
Friday,Emergency,Evening,27
Wednesday,Cardiology,Night,25
Saturday,Oncology,Afternoon,21
Wednesday,Oncology,Evening,6
Sunday,Cardiology,Morning,12
Saturday,Cardiology,Afternoon,25
Monday,Pediatrics,Morning,5
Saturday,Oncology,Afternoon,20
Sunday,Neurology,Morning,11
Monday,Pediatrics,Afternoon,14
Wednesday,Oncology,Morning,15
Thursday,Oncology,Afternoon,10
Monday,Emergency,Night,20
Wednesday,Pediatrics,Afternoon,8
Friday,Oncology,Night,26
Wednesday,Pediatrics,Evening,28
Thursday,Oncology,Afternoon,13
Monday,Oncology,Evening,15
Saturday,Neurology,Evening,29
Wednesday,Emergency,Night,10
Tuesday,Pediatrics,Afternoon,23
Monday,Oncology,Night,22
Monday,Pediatrics,Morning,5
Tuesday,Pediatrics,Morning,28
Monday,Cardiology,Afternoon,19
Friday,Pediatrics,Night,20
Friday,Cardiology,Night,12
Thursday,Pediatrics,Night,26
Saturday,Pediatrics,Morning,6
Sunday,Cardiology,Morning,12
Thursday,Emergency,Night,28
Wednesday,Pediatrics,Night,8
Wednesday,Oncology,Evening,8
Friday,Emergency,Night,7
Monday,Neurology,Evening,8
Saturday,Pediatrics,Afternoon,9
Saturday,Neurology,Night,14
Tuesday,Emergency,Morning,20
Saturday,Oncology,Evening,5
Friday,Pediatrics,Afternoon,21
Thursday,Cardiology,Evening,29
Thursday,Neurology,Morning,25
Thursday,Cardiology,Evening,13
Saturday,Emergency,Afternoon,22
Saturday,Pediatrics,Night,7
Tuesday,Pediatrics,Evening,9
Thursday,Neurology,Evening,16
Thursday,Neurology,Night,13
Wednesday,Oncology,Morning,28
Monday,Emergency,Morning,23
Saturday,Neurology,Night,28
Monday,Cardiology,Night,17
Tuesday,Cardiology,Afternoon,24
Thursday,Pediatrics,Afternoon,12
Wednesday,Emergency,Night,11
Sunday,Oncology,Afternoon,23
Monday,Oncology,Night,17
Tuesday,Oncology,Night,5
Wednesday,Neurology,Night,7
Thursday,Emergency,Night,8
Tuesday,Emergency,Morning,27
Saturday,Cardiology,Evening,13
Sunday,Oncology,Afternoon,7
Sunday,Cardiology,Evening,11
Wednesday,Neurology,Morning,5
Monday,Pediatrics,Morning,9
Friday,Oncology,Night,10
Monday,Cardiology,Evening,8
Friday,Emergency,Night,9
Sunday,Cardiology,Night,14
Sunday,Neurology,Night,18
Sunday,Oncology,Morning,22
Tuesday,Pediatrics,Evening,5
Wednesday,Neurology,Afternoon,17
Wednesday,Emergency,Night,25
Sunday,Neurology,Evening,20
Sunday,Cardiology,Afternoon,23
Wednesday,Neurology,Morning,8
Thursday,Oncology,Afternoon,18
Monday,Cardiology,Afternoon,7
Friday,Cardiology,Evening,21
Thursday,Oncology,Afternoon,26
Sunday,Cardiology,Afternoon,14
Tuesday,Cardiology,Evening,29
Tuesday,Pediatrics,Afternoon,19
Saturday,Emergency,Evening,13
Saturday,Neurology,Night,23
Thursday,Pediatrics,Night,21
Sunday,Emergency,Morning,20
Saturday,Pediatrics,Night,15
Friday,Pediatrics,Afternoon,9
Tuesday,Neurology,Night,9
Saturday,Cardiology,Evening,19
Saturday,Neurology,Night,13
Saturday,Emergency,Evening,9
Monday,Oncology,Evening,8
Tuesday,Neurology,Afternoon,7
Friday,Neurology,Afternoon,24
Saturday,Emergency,Afternoon,23
Monday,Cardiology,Evening,17
Thursday,Oncology,Night,28
Sunday,Oncology,Morning,20
Friday,Oncology,Evening,19
Monday,Oncology,Evening,16
Saturday,Pediatrics,Night,20
Monday,Emergency,Evening,7
Monday,Emergency,Night,11
Friday,Cardiology,Morning,18
Saturday,Oncology,Afternoon,6
Wednesday,Cardiology,Afternoon,25
Sunday,Pediatrics,Afternoon,12
Tuesday,Oncology,Night,6
Wednesday,Emergency,Night,15
Saturday,Oncology,Afternoon,23
Tuesday,Neurology,Night,18
Friday,Cardiology,Morning,16
Tuesday,Pediatrics,Evening,10
Sunday,Cardiology,Night,21
Saturday,Oncology,Afternoon,7
Friday,Oncology,Afternoon,16
Monday,Oncology,Night,17
Sunday,Pediatrics,Afternoon,7
Thursday,Emergency,Night,19
Wednesday,Pediatrics,Evening,15
Wednesday,Oncology,Night,18
Friday,Cardiology,Night,15
Tuesday,Oncology,Evening,9
Tuesday,Emergency,Morning,13
Thursday,Neurology,Morning,24
Monday,Cardiology,Night,24
Tuesday,Emergency,Morning,28
Tuesday,Pediatrics,Morning,21
Saturday,Neurology,Night,21
Monday,Cardiology,Afternoon,29
Thursday,Cardiology,Night,9
Tuesday,Cardiology,Morning,5
Sunday,Emergency,Morning,5
Friday,Oncology,Afternoon,15
Monday,Oncology,Morning,8
Tuesday,Emergency,Night,21
Thursday,Emergency,Afternoon,13
Wednesday,Oncology,Morning,13
Friday,Oncology,Morning,22
Saturday,Cardiology,Afternoon,14
Friday,Emergency,Evening,15
Friday,Pediatrics,Morning,14
Friday,Neurology,Afternoon,7
Wednesday,Cardiology,Afternoon,14
Wednesday,Neurology,Night,29
Wednesday,Neurology,Afternoon,21
Wednesday,Pediatrics,Night,12
Sunday,Neurology,Evening,21
Sunday,Oncology,Afternoon,23
Thursday,Neurology,Evening,7
Tuesday,Pediatrics,Night,20
